city_brewery_count,state_brewery_count,bar,brewpub,closed,contract,large,location,micro,nano,planning,proprietor,regional,taproom,major_city,national_park_vistors,ski_resort,tech_city,total population,% age 21+,% age 65+,% race - white,% race - black,% race - american native,% race  - asian,% race - pacific islander,% race - other,% race - hispanic/latino,% male,ranked,region_northeast,region_south,region_west
105,295,0,32,4,2,1,0,55,0,4,2,5,0,1.0,0.0,0.0,1.0,652503.0,79.7,13.9,78.8,7.9,3.5,10.9,1.1,9.5,11.1,0.4945417875473369,6,0,0,1
24,295,0,6,2,0,3,0,9,0,1,0,3,0,0.0,0.0,1.0,0.0,99178.0,75.8,17.7,93.3,1.3,2.9,3.5,0.6,8.1,9.2,0.4913993022646151,7,0,0,1
18,295,0,6,0,0,0,0,11,0,1,0,0,0,1.0,0.0,0.0,0.0,175535.0,72.3,15.8,80.7,3.0,4.6,4.8,1.9,17.9,23.5,0.4988976557381718,5,0,0,1
15,295,0,5,1,0,1,0,7,0,0,0,1,0,1.0,0.0,0.0,0.0,176654.0,76.2,18.1,88.1,3.5,4.4,6.6,0.9,8.3,10.6,0.4894766039829271,5,0,0,1
10,295,0,2,0,0,0,0,7,0,0,0,1,0,0.0,0.0,0.0,0.0,10256.0,78.5,27.0,84.5,1.2,6.0,3.4,0.7,15.6,19.1,0.4812792511700468,9,0,0,1
10,295,0,3,0,1,0,0,6,0,0,0,0,0,0.0,0.0,0.0,0.0,85824.0,73.8,19.7,88.3,2.2,4.7,3.6,1.1,13.5,17.1,0.4865538777032065,5,0,0,1
9,295,0,1,0,1,1,0,6,0,0,0,0,0,0.0,0.0,0.0,0.0,56472.0,73.8,18.0,90.0,1.8,4.7,3.2,0.7,11.1,14.1,0.4868430372574019,6,0,0,1
8,295,0,3,0,0,0,0,4,0,1,0,0,0,0.0,0.0,0.0,0.0,106447.0,73.8,11.1,69.4,4.4,3.7,15.4,1.3,19.3,24.1,0.5036121262224393,4,0,0,1
8,295,0,5,0,0,0,0,2,0,1,0,0,0,0.0,0.0,0.0,0.0,59922.0,73.0,13.9,83.6,2.5,2.9,12.3,0.9,8.2,10.1,0.5021694869997664,6,0,0,1
7,295,0,1,0,0,0,0,5,0,0,0,1,0,0.0,0.0,0.0,0.0,10181.0,80.1,23.0,91.8,1.2,4.4,3.3,0.7,9.0,10.6,0.4894411158039485,9,0,0,1
